Year, perc20, Mean, Median, Mode, CV, lower95, upper95
1991, 1079, 1297, 1288, 1320, 0.193, 877, 1830
1993, 2069, 2432, 2401, 2317, 0.175, 1720, 3413
1996, 2651, 3008, 2989, 3000, 0.138, 2197, 3788
2001, 2467, 3000, 2961, 3089, 0.217, 1910, 4666
2005, 4691, 5460, 5414, 5398, 0.161, 3893, 7416
2008, 5212, 6030, 5928, 5621, 0.171, 4118, 8255
2014, 5518, 6319, 6305, 6437, 0.138, 4811, 8351
